mois,finalBalance,bestTrade,worstTrade,drawDown,taxes,totalTrades,totalGoodTrades,totalBadTrades,winRateRatio,tradesPerformance,parametres
02-2022,1600.81,39.6,-4.56,21.06,129.38,125.0,52.0,73.0,41.6,0.49,2 -5 0 -10.0 5 2.4 30 20 312 216 10 50 45
02-2022,1485.61,45.08,-3.14,24.18,111.22,110.0,37.0,73.0,33.64,0.48,2 -5 0 -10.0 15 2.4 30 20 312 216 10 50 45
02-2022,1422.11,39.46,-4.26,27.31,131.86,134.0,52.0,82.0,38.81,0.37,2 -5 0 -10.0 0 2.4 30 20 312 216 10 50 45
02-2022,1420.78,42.55,-3.99,30.55,73.98,83.0,30.0,53.0,36.14,0.58,2 -5 0 -10.0 15 2.8 20 20 312 216 10 50 45
02-2022,1416.48,45.27,-3.59,18.73,79.71,79.0,34.0,45.0,43.04,0.6,2 -5 0 -10.0 20 2.4 30 20 312 216 10 50 45
02-2022,1371.62,25.89,-4.92,33.3,64.17,76.0,29.0,47.0,38.16,0.55,2 -5 0 -10.0 5 2.8 30 20 312 216 10 50 45
02-2022,1362.6,35.28,-5.8,28.33,87.0,112.0,42.0,70.0,37.5,0.4,2 -5 0 -10.0 5 2.4 40 20 312 216 10 50 45
02-2022,1354.98,16.81,-3.28,32.27,79.43,94.0,34.0,60.0,36.17,0.4,2 -5 0 -10.0 15 2.4 40 20 312 216 10 50 45
02-2022,1307.38,13.11,-3.65,26.64,98.72,114.0,37.0,77.0,32.46,0.3,2 -5 0 -10.0 15 2.0 40 20 312 216 10 50 45
02-2022,1260.61,12.35,-3.23,24.39,121.51,138.0,45.0,93.0,32.61,0.23,2 -5 0 -10.0 15 1.6 40 20 312 216 10 50 45
02-2022,1239.24,35.28,-5.8,33.58,89.74,116.0,39.0,77.0,33.62,0.3,2 -5 0 -10.0 0 2.4 40 20 312 216 10 50 45
02-2022,1214.58,11.66,-3.05,13.15,82.64,94.0,37.0,57.0,39.36,0.27,2 -5 0 -10.0 20 1.6 40 20 312 216 10 50 45
02-2022,1202.67,25.57,-4.47,36.49,66.48,84.0,29.0,55.0,34.52,0.35,2 -5 0 -10.0 0 2.8 30 20 312 216 10 50 45
02-2022,1197.19,12.04,-3.44,20.31,117.2,145.0,49.0,96.0,33.79,0.18,2 -5 0 -10.0 15 2.0 30 20 312 216 10 50 45
02-2022,1196.82,9.73,-2.58,13.44,126.87,161.0,57.0,104.0,35.4,0.16,2 -5 0 -10.0 20 1.2 20 20 312 216 10 50 45
02-2022,1165.18,38.96,-4.26,30.31,112.04,131.0,43.0,88.0,32.82,0.22,2 -5 0 -10.0 10 2.4 30 20 312 216 10 50 45
02-2022,1160.21,12.62,-3.66,30.14,151.12,184.0,72.0,112.0,39.13,0.13,2 -5 0 -10.0 0 2.0 30 20 312 216 10 50 45
02-2022,1154.94,22.07,-4.9,29.75,38.54,52.0,20.0,32.0,38.46,0.41,2 -5 0 -10.0 20 2.8 30 20 312 216 10 50 45
02-2022,1154.76,43.51,-4.11,30.35,132.11,151.0,58.0,93.0,38.41,0.2,2 -5 0 -10.0 5 2.4 20 20 312 216 10 50 45
02-2022,1144.27,16.97,-3.63,21.5,54.0,71.0,30.0,41.0,42.25,0.27,2 -5 0 -10.0 20 2.4 40 20 312 216 10 50 45
02-2022,1143.92,12.3,-3.16,16.26,139.88,172.0,60.0,112.0,34.88,0.13,2 -5 0 -10.0 15 2.0 20 20 312 216 10 50 45
02-2022,1139.7,19.45,-4.43,23.97,115.23,144.0,54.0,90.0,37.5,0.16,2 -5 0 -10.0 5 2.0 40 20 312 216 10 50 45
02-2022,1129.84,12.33,-2.6,12.59,150.77,192.0,72.0,120.0,37.5,0.11,2 -5 0 -10.0 15 1.2 30 20 312 216 10 50 45
02-2022,1126.96,46.53,-3.44,31.8,106.66,123.0,39.0,84.0,31.71,0.21,2 -5 0 -10.0 15 2.4 20 20 312 216 10 50 45
02-2022,1121.12,9.82,-2.11,22.02,305.34,379.0,122.0,257.0,32.19,0.08,2 -5 0 -10.0 0 1.2 20 20 312 216 10 50 45
02-2022,1113.99,11.9,-3.15,19.27,137.39,169.0,59.0,110.0,34.91,0.12,2 -5 0 -10.0 15 1.6 30 20 312 216 10 50 45
02-2022,1112.51,32.95,-8.04,35.01,71.22,88.0,36.0,52.0,40.91,0.24,2 -5 0 -10.0 5 2.8 20 20 312 216 10 50 45
02-2022,1110.12,13.59,-4.21,33.55,155.59,183.0,61.0,122.0,33.33,0.12,2 -5 0 -10.0 5 1.6 40 20 312 216 10 50 45
02-2022,1099.26,11.5,-4.02,20.75,129.99,163.0,57.0,106.0,34.97,0.11,2 -5 0 -10.0 15 1.2 40 20 312 216 10 50 45
02-2022,1091.44,48.07,-4.12,36.33,123.96,141.0,49.0,92.0,34.75,0.18,2 -5 0 -10.0 10 2.4 20 20 312 216 10 50 45
02-2022,1074.94,9.42,-1.92,16.45,104.8,142.0,50.0,92.0,35.21,0.1,2 -5 0 -10.0 20 1.6 20 20 312 216 10 50 45
02-2022,1074.64,6.72,-2.65,16.13,269.59,367.0,176.0,191.0,47.96,0.06,2 -5 0 0.0 15 1.2 30 20 312 216 10 50 45
02-2022,1073.55,14.2,-3.2,29.21,183.1,224.0,85.0,139.0,37.95,0.09,2 -5 0 -10.0 0 1.6 30 20 312 216 10 50 45
02-2022,1072.88,7.01,-3.89,18.26,343.28,497.0,232.0,265.0,46.68,0.05,2 -5 0 0.0 10 2.4 40 20 312 216 10 50 45
02-2022,1069.95,7.01,-3.89,18.36,344.94,497.0,232.0,265.0,46.68,0.05,2 -5 0 0.0 10 2.8 40 20 312 216 10 50 45
02-2022,1068.2,28.26,-4.19,32.8,58.29,74.0,27.0,47.0,36.49,0.2,2 -5 0 -10.0 10 2.8 30 20 312 216 10 50 45
02-2022,1062.86,12.35,-3.09,29.8,130.07,172.0,60.0,112.0,34.88,0.09,2 -5 0 -10.0 10 2.0 30 20 312 216 10 50 45
02-2022,1062.7,7.01,-2.69,19.37,348.12,500.0,233.0,267.0,46.6,0.05,2 -5 0 0.0 10 2.0 30 20 312 216 10 50 45
02-2022,1059.41,7.01,-3.89,19.22,344.48,497.0,232.0,265.0,46.68,0.05,2 -5 0 0.0 10 2.8 30 20 312 216 10 50 45
02-2022,1057.02,7.01,-3.89,18.94,342.62,496.0,232.0,264.0,46.77,0.05,2 -5 0 0.0 10 2.8 20 20 312 216 10 50 45
02-2022,1055.69,7.01,-3.89,19.78,346.91,498.0,232.0,266.0,46.59,0.05,2 -5 0 0.0 10 2.4 30 20 312 216 10 50 45
02-2022,1050.19,7.01,-2.59,18.92,347.43,502.0,234.0,268.0,46.61,0.05,2 -5 0 0.0 10 2.4 20 20 312 216 10 50 45
02-2022,1039.08,10.39,-3.69,23.15,70.16,86.0,31.0,55.0,36.05,0.11,2 -5 0 -10.0 20 2.0 40 20 312 216 10 50 45
02-2022,1038.19,7.01,-2.64,21.11,349.31,503.0,234.0,269.0,46.52,0.05,2 -5 0 0.0 10 1.6 40 20 312 216 10 50 45
02-2022,1037.72,7.01,-4.27,20.08,342.11,500.0,234.0,266.0,46.8,0.05,2 -5 0 0.0 10 2.0 40 20 312 216 10 50 45
