,dates,finalBalance,perfVSUSD,holdPercentage,vsHoldPercentage,bestTrade,worstTrade,drawDown,taxes,totalTrades,totalGoodTrades,totalBadTrades,winRateRatio,tradesPerformance,averagePercentagePositivTrades,averagePercentageNegativTrades,startingBalance,maxPositions,parametrePVO2,parametrePERF,parametreTRIX_HISTO,parametrePVO,parametreBOL_BANDwindowdev,parametreBOL_BANDwindow,parametreMACD,parametreEMA13D,parametreEMA9D,parametreEMA10,parametreEMA50,parametreEMA45
0,[2021-09-01 00:00:00] -> [2021-10-01 23:55:00],750.34,-24.94,2.32,-26.64,10.51,-3.77,50.78,357.73,529.0,167.0,362.0,31.57,-0.01,1.46,-0.68,1000,2,-5,0,-10.0,0,1.2,20,20,312,216,10,50,45
1,[2021-09-01 00:00:00] -> [2021-10-01 23:55:00],917.4,-8.23,2.32,-10.31,11.02,-6.26,38.81,279.51,352.0,118.0,234.0,33.52,0.03,1.8,-0.87,1000,2,-5,0,-10.0,0,1.2,30,20,312,216,10,50,45
2,[2021-09-01 00:00:00] -> [2021-10-01 23:55:00],786.7,-21.3,2.32,-23.08,10.28,-6.26,39.02,203.98,294.0,107.0,187.0,36.39,-0.03,1.79,-1.07,1000,2,-5,0,-10.0,0,1.2,40,20,312,216,10,50,45
3,[2021-09-01 00:00:00] -> [2021-10-01 23:55:00],989.77,-0.99,2.32,-3.23,9.5,-5.52,38.6,332.0,401.0,133.0,268.0,33.17,0.05,1.8,-0.82,1000,2,-5,0,-10.0,0,1.6,20,20,312,216,10,50,45
4,[2021-09-01 00:00:00] -> [2021-10-01 23:55:00],1157.37,15.78,2.32,13.16,10.18,-6.26,28.29,250.79,284.0,106.0,178.0,37.32,0.11,2.01,-1.02,1000,2,-5,0,-10.0,0,1.6,30,20,312,216,10,50,45
5,[2021-09-01 00:00:00] -> [2021-10-01 23:55:00],1043.96,4.43,2.32,2.07,13.56,-6.37,37.7,204.19,232.0,82.0,150.0,35.34,0.08,2.32,-1.14,1000,2,-5,0,-10.0,0,1.6,40,20,312,216,10,50,45
6,[2021-09-01 00:00:00] -> [2021-10-01 23:55:00],956.03,-4.36,2.32,-6.53,10.5,-5.45,35.16,234.3,288.0,104.0,184.0,36.11,0.04,1.87,-1.0,1000,2,-5,0,-10.0,0,2.0,20,20,312,216,10,50,45
7,[2021-09-01 00:00:00] -> [2021-10-01 23:55:00],785.08,-21.46,2.32,-23.24,10.18,-6.26,44.72,162.37,215.0,74.0,141.0,34.42,-0.05,2.2,-1.23,1000,2,-5,0,-10.0,0,2.0,30,20,312,216,10,50,45
8,[2021-09-01 00:00:00] -> [2021-10-01 23:55:00],662.17,-33.76,2.32,-35.26,13.52,-6.37,47.06,114.41,183.0,58.0,125.0,31.69,-0.16,2.6,-1.43,1000,2,-5,0,-10.0,0,2.0,40,20,312,216,10,50,45
9,[2021-09-01 00:00:00] -> [2021-10-01 23:55:00],874.4,-12.53,2.32,-14.51,9.8,-5.45,43.63,117.72,166.0,56.0,110.0,33.73,-0.02,2.5,-1.3,1000,2,-5,0,-10.0,0,2.4,20,20,312,216,10,50,45
