nbOfMonth,finalBalanceMoyenne,finalBalanceMediane,pireFinalBalance,bestFinalBalance,finalBalanceList,bestTradeMoyen,worstTradeMoyen,drawDownMoyen,taxesMoyenne,totalTradesMoyen,totalGoodTradesMoyen,totalBadTradesMoyen,winRateRatioMoyen,tradesPerformanceMoyen,parametres
8,961.53375,982.925,803.28,1105.41,"[803.28, 819.78, 837.94, 898.26, 1067.59, 1074.94, 1085.07, 1105.41]",13.23,-3.4800000000000004,24.72125,120.75125,179.5,59.875,119.625,33.295,0.01875,2 -5 0 -10.0 20 1.6 20 20 312 216 10 50 45
8,940.275,928.29,723.12,1191.55,"[723.12, 776.2, 783.1, 851.91, 1004.67, 1028.15, 1163.5, 1191.55]",16.10125,-4.845,25.115000000000002,85.04499999999999,125.125,44.375,80.75,35.491249999999994,-0.0037499999999999964,2 -5 0 -10.0 20 2.0 30 20 312 216 10 50 45
8,1011.06,1016.1,713.24,1377.68,"[713.24, 802.35, 919.57, 996.98, 1035.22, 1046.62, 1196.82, 1377.68]",12.163750000000002,-3.28,22.14,139.9825,203.125,68.0,135.125,33.332499999999996,0.033749999999999995,2 -5 0 -10.0 20 1.2 20 20 312 216 10 50 45
8,885.70625,800.995,695.08,1208.48,"[695.08, 709.51, 724.15, 730.96, 871.03, 1019.45, 1126.99, 1208.48]",15.03125,-4.125,30.54125,216.01999999999998,338.0,107.875,230.125,31.66125,-0.0024999999999999996,2 -5 0 -10.0 15 1.2 20 20 312 216 10 50 45
8,1112.7437499999999,1185.7350000000001,679.0,1541.82,"[679.0, 733.04, 810.31, 1156.89, 1214.58, 1243.78, 1522.53, 1541.82]",20.8125,-4.723750000000001,25.978749999999998,94.40125,127.375,43.0,84.375,33.848749999999995,0.10625000000000001,2 -5 0 -10.0 20 1.6 40 20 312 216 10 50 45
8,1085.4375,984.175,669.32,1703.06,"[669.32, 697.11, 785.1, 944.86, 1023.49, 1417.62, 1442.94, 1703.06]",16.09125,-4.42125,25.855,107.97,149.625,53.375,96.25,35.69875,0.05375,2 -5 0 -10.0 20 1.6 30 20 312 216 10 50 45
8,959.16625,954.65,622.96,1345.4,"[622.96, 829.75, 851.9, 892.78, 1016.52, 1050.08, 1063.94, 1345.4]",13.819999999999999,-3.84875,24.21,102.4075,152.125,51.25,100.875,33.74375,-0.005000000000000001,2 -5 0 -10.0 20 2.0 20 20 312 216 10 50 45
8,1062.05125,1021.7,620.3,1799.49,"[620.3, 642.73, 711.7, 1004.32, 1039.08, 1180.59, 1498.2, 1799.49]",20.543749999999996,-4.83375,29.306250000000002,82.0325,108.375,37.625,70.75,34.53875,0.061249999999999985,2 -5 0 -10.0 20 2.0 40 20 312 216 10 50 45
8,891.0775,836.1,613.34,1237.77,"[613.34, 685.8, 721.25, 734.75, 937.45, 1043.32, 1154.94, 1237.77]",17.267500000000002,-7.857500000000001,28.691249999999997,43.1,62.875,21.375,41.5,33.936249999999994,-0.11624999999999999,2 -5 0 -10.0 20 2.8 30 20 312 216 10 50 45
8,1041.51,1068.15,608.36,1520.36,"[608.36, 749.57, 793.38, 923.47, 1212.83, 1237.44, 1286.67, 1520.36]",17.885,-4.22875,26.328750000000003,106.39125,147.375,49.25,98.125,33.57625,0.03875000000000001,2 -5 0 -10.0 20 1.2 40 20 312 216 10 50 45
8,1472.86875,1132.755,604.4,3800.82,"[604.4, 697.28, 828.07, 844.73, 1420.78, 1533.11, 2053.76, 3800.82]",28.33125,-7.190000000000001,26.737499999999997,58.255,70.0,27.0,43.0,38.89125,0.5362499999999999,2 -5 0 -10.0 15 2.8 20 20 312 216 10 50 45
8,951.5062499999999,842.7049999999999,602.26,1591.91,"[602.26, 685.27, 713.85, 734.65, 950.76, 1070.09, 1263.26, 1591.91]",18.3025,-7.62625,33.32875,49.38625,70.5,24.625,45.875,35.02875,-0.033749999999999995,2 -5 0 -10.0 15 2.8 40 20 312 216 10 50 45
8,1030.27875,1015.155,601.18,1384.76,"[601.18, 804.58, 872.74, 974.76, 1055.55, 1258.41, 1290.25, 1384.76]",14.31,-3.4787500000000002,22.45125,122.04625000000001,170.125,57.125,113.0,33.6325,0.035,2 -5 0 -10.0 20 1.2 30 20 312 216 10 50 45
8,1025.385,897.4649999999999,598.96,1527.93,"[598.96, 666.8, 776.25, 852.28, 942.65, 1416.48, 1421.73, 1527.93]",30.0875,-5.935,28.471249999999998,69.2125,96.0,34.375,61.625,35.78,0.08249999999999998,2 -5 0 -10.0 20 2.4 30 20 312 216 10 50 45
8,993.9,975.7850000000001,592.23,1726.84,"[592.23, 634.31, 948.16, 965.88, 985.69, 1015.76, 1082.33, 1726.84]",17.1975,-6.32,27.084999999999997,42.802499999999995,59.0,21.75,37.25,37.207499999999996,0.011250000000000007,2 -5 0 -10.0 20 2.8 40 20 312 216 10 50 45
8,1084.74875,902.0799999999999,591.08,2345.43,"[591.08, 740.79, 808.89, 814.28, 989.88, 1180.28, 1207.36, 2345.43]",21.6275,-7.28125,30.01625,47.15875,60.75,22.625,38.125,37.39125,0.14125,2 -5 0 -10.0 20 2.8 20 20 312 216 10 50 45
8,1052.9175,878.3050000000001,591.04,1652.76,"[591.04, 784.57, 789.3, 813.98, 942.63, 1208.48, 1640.58, 1652.76]",29.52625,-6.548749999999999,29.547499999999996,72.84875,107.5,38.75,68.75,36.04875,0.07875,2 -5 0 -10.0 20 2.4 20 20 312 216 10 50 45
